33151	34.5
33152	33
33153	34
33154	34.5
33155	32
33156	35
33157	35.5
33158	33.5
33159	34
33160	35
33161	34
33162	32
33163	33
33164	35
33165	33
33166	34.5
33167	34
33168	34
33169	34
33170	35
33171	37
33172	36.5
33173	34
33174	36
33175	35
33176	34
33177	30
33178	27
33179	27
33180	26.5
33181	28
33182	29
33183	27.5
33184	27
33185	24
33186	33.5
33187	32
33188	33
33189	33
33190	32.5
33191	31
33192	33
33193	34
33194	33.5
33195	34
33196	33
33197	32
33198	27
33199	33
33200	26.5
33201	26
33202	27
33203	26
33204	25
33205	31.5
33206	30
33207	30
33208	31.5
33209	28
33210	28
33211	28
33212	28
33213	28
33214	30.5
33215	29.5
33216	30
33217	28
33218	29
33219	29
33220	35
33221	30
33222	21
33223	20
33224	20
33225	20
33226	21
33227	22.5
33228	22
33229	21
33230	19
33231	19
33232	19
33233	20
33234	21
33235	21
33236	22
33237	25
33238	24
33239	25
33240	25
33241	26
33242	26.5
33243	26
33244	26
33245	21
33246	22
33247	22
33248	22
33249	22.5
33250	22
33251	25
33252	26
33253	24.5
33254	25
33255	20.5
33256	23
33257	22
33258	22
33259	24
33260	24
33261	21.5
33262	26
33263	22.5
33264	23
33265	28
33266	24
33267	23
33268	23
33269	28
33270	29
33271	31
33272	27
33273	31.5
33274	27
33275	30
33276	29
33277	29
33278	29.5
33279	28
33280	27
33281	27.5
33282	28
33283	30
33284	29
33285	29.5
33286	29
33287	23
33288	24
33289	27
33290	28
33291	30.5
33292	31
33293	28
33294	27
33295	30
33296	29
33297	24
33298	31.5
33299	32
33300	30
33301	31
33302	28
33303	30
33304	28
33305	27
33306	28
33307	28
33308	26
33309	27
33310	27
33311	26
33312	25.5
33313	26
33314	26
33315	25
33316	26
33317	23.5
33318	23
33319	24
33320	28
33321	27.5
33322	27
33323	26
33324	30
33325	27
33326	28
33327	29.5
33328	31
33329	31
33330	30
33331	30
33332	32
33333	31
33334	32
33335	31.5
33336	32.5
33337	32
33338	33
33339	34
33340	32
33341	31.5
33342	32
33343	33
33344	31
33345	31
33346	30.5
33347	33
33348	32.5
33349	35
33350	32
33351	34
33352	32
33353	30
33354	30
33355	31
33356	31
33357	31
33358	32.5
33359	33
33360	32
33361	32
33362	33
33363	36.5
33364	33.5
33365	35
33366	34
33367	34
33368	34.5
33369	35
33370	35
33371	36
33372	35
33373	34
33374	35
33375	35.5
33376	35
33377	34
33378	31
33379	30
33380	32
33381	34
33382	35
33383	35.5
33384	34.5
33385	35
33386	35
33387	34
33388	33
33389	32.5
33390	33
33391	32
33392	35
33393	36
33394	36
33395	39
33396	39.5
33397	39
33398	38.5
33399	35
33400	36
33401	34
33402	33
33403	35.5
33404	34
33405	38
33406	38
33407	39
33408	38.5
33409	38
33410	40.5
33411	39.5
33412	35
33413	37
33414	37
33415	35.5
33416	37
33417	36.5
33418	38
33419	35
33420	36
33421	33
33422	30.5
33423	31
33424	31.5
33425	31
33426	33
33427	35
33428	34
33429	35
33430	34
33431	35
33432	35.5
33433	35
33434	38
33435	38
33436	35
33437	35
33438	36
33439	37
33440	36.5
33441	37
33442	35
33443	36.5
33444	34
33445	33
33446	33.5
33447	34
33448	36
33449	36
33450	38
33451	40
33452	37.5
33453	37.5
33454	38
33455	38
33456	37
33457	36
33458	37
33459	38
33460	38
33461	35.5
33462	37.5
33463	37
33464	36
33465	37
33466	37.5
33467	38
33468	38
33469	34
33470	37
33471	29
33472	36
33473	38
33474	36
33475	32
33476	32
33477	37
33478	34
33479	36
33480	37
33481	37.5
33482	37
33483	31
33484	33
33485	37
33486	35.5
33487	35.5
33488	35.5
33489	34
33490	31
33491	34.5
33492	33
33493	34
33494	33
33495	34
33496	34
33497	34
33498	32
33499	32
33500	34.5
33501	31
33502	31.5
33503	35.5
33504	38
33505	36
33506	38
33507	37
33508	38
33509	37
33510	37
33511	39
33512	38
33513	37
33514	36
33515	37
33516	35
33517	40
33518	36
33519	37.5
33520	38
33521	40
33522	38
33523	36.5
33524	36
33525	36
33526	38
33527	37
33528	37
33529	38.5
33530	37.5
33531	35
33532	33
33533	34
33534	32
33535	32
33536	33
33537	35
33538	31
33539	29
33540	29
33541	30
33542	29
33543	30
33544	30
33545	32
33546	33
33547	27
33548	32
33549	32
33550	34
33551	36.5
33552	32
33553	26
33554	27
33555	27
33556	25
33557	26.5
33558	26
33559	25
33560	28
33561	27
33562	29
33563	29
33564	29.5
33565	31
33566	31
33567	29
33568	31
33569	31
33570	29
33571	28
33572	24.5
33573	20
33574	22
33575	20
33576	26.5
33577	27
33578	28
33579	24
33580	24
33581	30
33582	27
33583	28
33584	24.5
33585	24
33586	25
33587	30
33588	27
33589	26.5
33590	25
33591	24
33592	16.5
33593	21
33594	22.5
33595	22
33596	21
33597	22
33598	23
33599	24
33600	24
33601	25
33602	25
33603	26
33604	25
33605	23
33606	22
33607	21
33608	29
33609	22
33610	21.5
33611	21.5
33612	25
33613	22
33614	21.5
33615	21
33616	20
33617	19
33618	20.5
33619	22.5
33620	22
33621	24
33622	23.5
33623	23
33624	22
33625	23
33626	23
33627	20
33628	21
33629	24
33630	24
33631	27
33632	26
33633	28
33634	25
33635	24
33636	24
33637	23
33638	22
33639	25.5
33640	24
33641	24
33642	25
33643	25
33644	24
33645	24.5
33646	24
33647	24
33648	23
33649	25.5
33650	25
33651	24
33652	25
33653	25
33654	27
33655	28.5
33656	28
33657	29
33658	25
33659	27.5
33660	27
33661	27
33662	30
33663	24.5
33664	28.5
33665	25.5
33666	25
33667	25
33668	27
33669	28.5
33670	27.5
33671	28
33672	24
33673	26
33674	24
33675	29
33676	26
33677	25
33678	32
33679	28
33680	25
33681	27
33682	30
33683	28.5
33684	29
33685	27
33686	28.5
33687	30
33688	28
33689	26
33690	25
33691	26.5
33692	28
33693	28
33694	27.5
33695	25
33696	26
33697	24
33698	25
33699	27.5
33700	33
33701	33
33702	33
33703	33
33704	34.5
33705	35
33706	34
33707	33
33708	31.5
33709	32
33710	32.5
33711	33
33712	33.5
33713	33
33714	32
33715	32.5
33716	34
33717	35
33718	36
33719	38
33720	38.5
33721	41
33722	37
33723	38.5
33724	40
33725	38.5
33726	39
33727	39
33728	38
33729	39
33730	39
33731	34.5
33732	35
33733	34.5
33734	32
33735	33
33736	35
33737	36
33738	36
33739	36.5
33740	29.5
33741	35.5
33742	36
33743	35
33744	33
33745	30
33746	35
33747	35.5
33748	36.5
33749	36
33750	37.5
33751	35
33752	34
33753	35
33754	36
33755	32.5
33756	35
33757	36
33758	37
33759	38
33760	37
33761	37.5
33762	37.5
33763	35
33764	36
33765	36
33766	37
33767	39.5
33768	39
33769	39
33770	37.5
33771	38
33772	38
33773	38
33774	39.5
33775	39
33776	38
33777	39
33778	38
33779	39
33780	40
33781	39
33782	38.5
33783	38
33784	38
33785	38.5
33786	38.5
33787	38.5
